pro_name,score,title
祖玛珑英国梨与小苍兰淡香水,8.8,女士香水榜
雅诗兰黛特润修护肌透精华露,8.1,精华榜
植村秀清透焕颜洁颜油,8.5,卸妆榜
菲拉格慕蓝色经典男士淡香水,7.1,男士香水榜
雅漾净柔洁面摩丝,8.2,洁面榜
贝德玛赋妍烟酰胺保湿修护霜,8.4,面霜榜
IPSA 水润倍护防日晒日乳,8.8,防晒榜
欧莱雅纷泽溢彩釉光唇膏,8.2,口红榜
科颜氏维生素C紧肤精华乳液,8.6,乳液榜
雅诗兰黛多效智妍乳液,8.5,乳液榜
欧莱雅金致臻颜奢养紧妍滋润乳液,8.4,乳液榜
欧舒丹乳木果绵润身体霜,8.7,身体护理榜
玉兰油花漾香氛小花瓶沐浴露,8.7,身体护理榜
肌美精3D立体浸透抗皱保湿面膜,8.7,面膜榜
香奈儿山茶花保湿精华水,8.8,化妆水榜
菲洛嘉焕龄时光眼霜,8.3,眼霜榜
海蓝之谜浓缩修护眼部精华霜,8.3,眼霜榜
汤姆福特幻魅四色眼影盘,8.0,眼影榜
伊丽莎白雅顿绿茶香水,8.8,女士香水榜
范思哲晶钻女用香水,8.2,女士香水榜
妮维雅深层洁净洗颜泥,8.4,卸妆榜
理肤泉温泉净颜卸妆液,8.3,卸妆榜
Calvin Klein 因为你男士淡香水,7.0,男士香水榜
菲拉格慕菲凡之旅男士淡香水,7.0,男士香水榜
万宝龙传奇男士香水,7.0,男士香水榜
科颜氏高保湿清爽洁面乳,8.2,洁面榜
碧欧泉男士新水动力洁面膏,8.2,洁面榜
曼秀雷敦新碧双重保湿水盈防晒乳,8.7,防晒榜
薇姿每日隐形防晒喷雾,8.6,防晒榜
圣罗兰细管纯口红,8.1,口红榜
美宝莲纵情耀星钻小灯管系列唇膏,8.1,口红榜
FANCL 水盈补湿液,8.3,乳液榜
怡丽丝尔优悦活颜滑弹润乳,8.3,乳液榜
玉兰油沐浴露,8.7,身体护理榜
资生堂惠润沐浴露,8.6,身体护理榜
雅漾法国恒润保湿面膜,8.7,面膜榜
欧莱雅清润葡萄籽精华鲜注面膜,8.7,面膜榜
菲洛嘉柔润亮泽面膜,8.6,面膜榜
雅漾法国净柔爽肤水,8.7,化妆水榜
雅诗兰黛多效智妍眼霜,8.2,眼霜榜
欧舒丹腊菊活颜紧致精华眼霜,8.2,眼霜榜
BURBERRY 红粉恋歌女士香氛,8.1,女士香水榜
贝德玛水润保湿洁肤液,8.1,卸妆榜
苏菲娜芯美颜卸妆洁面泡沫,8.1,卸妆榜
薇姿温泉纯净多效洁肤水,8.1,卸妆榜
欧舒丹乳木果舒润洁面乳,8.1,洁面榜
FANCL 莹亮洁颜霜,8.1,洁面榜
雅漾清爽倍护温和防晒乳,8.5,防晒榜
妮维雅晶纯皙白轻透防晒隔离乳,8.3,防晒榜
悦木之源韦博士灵芝焕能精华乳液,8.2,乳液榜
妮维雅精华油润肤露,8.6,身体护理榜
力士宠肤香氛沐浴乳,8.6,身体护理榜
SK-Ⅱ护肤面膜,8.5,面膜榜
玉兰油焕采莹润沁透睡眠面膜,8.5,面膜榜
雪花秀滋盈肌本润颜水,8.5,化妆水榜
宝格丽紫晶女士香水,8.0,女士香水榜
安娜苏许愿精灵淡香水,8.0,女士香水榜
美宝莲净澈多效卸妆水,7.9,卸妆榜
SOFINA（苏菲娜）芯美颜日间倍护防晒乳,8.2,防晒榜
安热沙美白精华面部防晒乳,8.2,防晒榜
迪奥雪晶灵焕亮微珠美容液,8.0,乳液榜
水之密语海盐弹润紧致润肤霜,8.5,身体护理榜
理肤泉温泉活化保湿睡眠面膜,8.4,面膜榜
科颜氏亚马逊白泥净致爽肤水,8.5,化妆水榜
强生美肌恒日倍润沐浴乳,8.4,身体护理榜
兰蔻新塑颜修护凝露水,8.5,化妆水榜
悦木之源韦博士灵芝焕能精华水,8.4,化妆水榜
