a_作者,b_被收藏数,c_最近更新作品,d_作品状态,e_作品字数,f_最后更新时间,g_作者所发送红包数,h_小说完本数,i_小说连载数,j_小说暂停数
Fresh果果,10878,《仙侠奇缘之杀阡陌》,连载,135093,2019-05-28 19:24:20,0,25,3,0
Twentine,182933,《无何有乡》,完结,295394,2022-02-27 20:09:54,5,18,7,1
骑鲸南去,147936,《万有引力[无限流]》,完结,1331753,2022-01-27 08:40:42,1116,5,2,0
莫晨欢,242489,《第四视角》,连载,462978,2022-03-10 18:21:18,30989,26,8,1
司泽院蓝,15148,《师门不幸的我》,连载,188205,2022-03-10 20:28:52,894,50,4,0
稚楚,261354,《番外合集》,连载,46705,2022-02-14 23:16:42,46,6,7,0
白夜光,36,《恋上你的爱》,完结,53161,2020-03-23 11:35:50,0,14,7,3
梦溪石,201789,《阴阳渡》,连载,136456,2022-03-13 19:24:39,52927,25,1,1
维和粽子,31695,《一朵花开百花杀》,完结,667939,2022-01-23 06:17:27,20047,14,9,0
唐琪儿,3051,《越前龙马(网球王子同人三部曲-立海篇)》,完结,96256,2019-10-23 21:11:58,0,45,0,0
Jenni,10585,《你是小仙女吧》,连载,165838,2021-06-29 11:05:16,548,22,4,3
弦三千,17445,《顶流营业中》,连载,12530,2022-03-13 00:00:00,2902,18,25,0
柚子多肉,56086,《短篇小甜文》,连载,376126,2022-01-16 10:33:58,680,12,5,0
巫哲,715837,《三伏》,完结,884063,2022-03-11 00:12:16,404,26,2,0
岁见,54139,《你亲我一下》,完结,330359,2022-03-11 16:02:24,6661,11,19,0
百腐臣,1356,《求你放过我》,完结,196241,2022-02-17 11:01:43,149,9,5,0
远霄,35,《阑*******灯》,完结,139463,2014-10-15 21:54:00,0,17,6,1
随风迁徙,832,《virus》,完结,86712,2020-06-24 19:07:43,0,24,1,10
莲鹤夫人,28200,《他与它》,连载,423541,2022-03-13 22:17:32,10094,4,3,0
向家小十,17567,《变成神明后……》,连载,50741,2022-03-13 15:14:56,1302,44,7,1
辰辰小天,17815,《主播总是在穿越》,完结,240138,2019-09-20 20:28:03,179,35,9,1
浮白曲,63786,《游戏皇帝觉醒后》,连载,320359,2022-03-12 21:54:30,42,6,9,0
狄戈,6812,《西*》,完结,331664,2019-10-29 23:20:20,207,7,0,0
青青绿萝裙,52824,《我妻薄情》,连载,421358,2022-03-13 20:09:46,1516,16,6,0
沈闲辞,3683,"《精灵皇,职业花瓶》",连载,127627,2022-03-13 06:00:00,358,24,11,0
羲和清零,105381,《偶然相爱》,连载,162536,2022-03-13 12:16:33,50490,17,7,0
甜蜜桂花糖,3676,《[歌剧魅影]金子》,完结,13426,2021-12-25 12:00:00,1486,17,20,0
瑜眠,1007,《伊甸园》,完结,17678,2021-07-25 18:17:20,500,11,8,0
温昶,16018,《摧眉[女强]》,连载,198786,2022-02-13 00:01:36,1103,11,3,0
长洱,100806,《狭路》,连载,108560,2022-03-05 00:54:13,5618,2,2,0
破狐狸,115,《蓄谋与不受控》,连载,15487,2022-01-07 15:28:53,0,27,5,0
南琅要减肥,2249,《狮*******程》,连载,87810,2016-11-16 18:06:29,0,1,1,0
腊七小雪,27302,《新时代客栈》,连载,895026,2022-03-13 20:24:54,2950,4,3,0
臣年,45621,《恃宠》,完结,465972,2022-01-28 17:41:37,37503,11,5,0
白木桃華,870,《[网王+柯南]刺桐之歌》,连载,440276,2022-02-22 22:44:58,0,3,4,5
咎井寒,9677,《（全职高手）世界唯一的花》,连载,23745,2022-03-13 10:28:37,25,129,14,4
上官云儿,91,《高深莫测[快穿]》,连载,73043,2020-11-01 23:43:57,0,8,3,0
北南,242863,《番外》,连载,31359,2021-06-14 17:30:10,0,10,2,0
轻云淡,91877,《末日营地[基建]》,完结,226440,2020-12-23 12:08:29,10382,24,1,0
千峰一鹤,35893,《我的结婚对象太离谱了》,连载,46397,2020-10-16 13:46:44,22714,19,3,0
疯丢子,51126,《天上天下》,连载,120214,2020-09-07 19:09:58,0,20,7,0
织尔,3030,《归宴》,完结,74516,2022-03-02 23:11:54,0,8,1,0
张鼎鼎,32190,《今天开始踢球》,连载,87091,2022-03-13 20:10:04,2039,32,9,6
摇摇兔,9991,《来自律师A的致命吸引》,连载,386706,2022-03-13 00:00:00,8528,19,9,0
卫之轻纱,6,《胤禛》,连载,3049,2008-04-09 08:28:36,0,7,1,0
巧克力香菇,757,《戒不掉》,连载,94745,2022-03-12 12:00:00,198,13,8,0
烟猫,9721,《[HP]兰斯·波特》,暂停,1155285,2022-01-01 21:14:16,619,32,0,2
渊爻,22607,《假死的白月光回来了》,完结,515748,2022-03-13 08:22:28,30994,11,7,0
坎离,249,《（*******活》,连载,52295,2017-03-23 16:06:03,0,3,1,1
姜玖,6228,《[HP]蝴蝶效应》,完结,893306,2022-01-31 18:23:41,101,6,10,3
傅云见,12383,《薛定谔爱情》,连载,341721,2022-03-12 03:54:37,31667,6,4,0
琉璃微凉,1971,《将军予他（GB）》,连载,232363,2022-03-12 17:41:15,29,27,5,1
边巡,40006,《我真不是深渊之主》,完结,271267,2021-10-01 00:46:07,0,8,7,0
白色的木,11172,《我靠宠妃系统当了秦始皇的国师》,连载,887017,2022-03-13 02:26:17,392,15,18,0
丁墨,61505,《丁*******告》,连载,22154,2014-08-01 09:41:47,1178,35,1,5
焦尾琴鸣,2233,《危楼可摘星》,完结,9067,2020-10-19 20:17:47,1086,13,4,0
司空破晓,3674,《写*******流》,完结,299608,2016-07-08 12:47:02,0,5,4,5
七流,51257,《高维入侵》,连载,238163,2022-03-13 08:02:29,15521,29,7,0
阿恩,15,《灿烂似花》,完结,50104,2019-08-23 16:04:57,0,2,0,1
先久,617,《麦芒》,连载,164630,2020-09-07 21:42:44,678,6,11,0
林绵绵,58881,《惊！清贫校草是孩子他爸》,完结,466805,2022-03-01 12:00:00,21104,46,19,0
关心则乱,45840,《江湖夜雨十年灯》,连载,809637,2022-01-26 02:03:57,10,15,6,0
欧阳墨心,7239,《白无常已经三天没来勾我的魂了》,完结,291526,2021-10-20 19:00:00,50,8,1,0
青浼,121215,《嘘，国王在冬眠》,完结,875180,2022-02-28 01:35:13,70138,27,7,0
沐裕鹿,12476,《手握古早剧本和警校组贴贴》,连载,253235,2022-03-12 23:58:35,268,4,14,0
苍洱珠林,616,《[西游]圣僧你骨头断了》,完结,740465,2021-04-19 18:46:48,57,7,3,0
纪橘,1321,《甩了五条猫和哒宰以后》,连载,246537,2021-08-18 23:19:45,170,6,4,3
我想吃肉,48085,《佳人在侧》,完结,1769211,2021-11-23 10:21:06,1940,26,0,0
掌上舞,363,《网王——华丽碰撞》,完结,129227,2013-01-23 00:43:40,0,7,0,1
子独,1311,"《『猎人同人』真的,什么,假的.（修完）》",完结,405010,2019-03-12 12:07:04,10,7,2,0
条纹花瓶,26930,《三穿陈阿娇》,连载,257567,2022-03-13 21:09:05,10154,14,12,0
青律,46696,《帝王侧》,连载,124927,2022-01-01 18:26:28,24583,31,10,0
诗人达达,1579,《卸甲》,完结,1508764,2022-02-25 09:59:38,10,5,4,0
雏微,3809,《七*******鸦》,完结,523508,2021-11-26 14:29:59,73,9,0,0
红雨七少,8,《梦仙》,完结,257062,2012-01-23 18:25:30,0,12,2,0
仲希,3726,《外婆的甜品店》,连载,298115,2022-01-14 00:02:53,6510,25,12,0
打酱油而已,2243,《[HP]和玛丽苏开玩笑》,连载,973713,2019-08-29 20:24:09,0,2,1,0
百里冰烟,9617,《天下第一捕[综武侠]》,连载,849784,2022-03-07 23:58:42,4279,33,18,0
雾十,101662,《独钓》,完结,738063,2022-02-28 12:57:43,5534,64,2,1
鱼危,106052,《Cos魏尔伦的我穿越了》,连载,140555,2022-03-13 18:16:06,9525,45,17,0
一月痕天,2337,《[综武侠]天外飞鲜橙！》,暂停,78607,2014-12-25 18:25:13,72,29,3,2
神月离人,2886,《夜*》,连载,27963,2012-06-24 03:43:24,0,18,14,0
墨书白,109226,《剑寻千山》,连载,423146,2022-03-11 22:57:47,24734,12,7,0
择兰,7987,《顶流的小祖宗来自大唐》,连载,384473,2022-03-13 19:28:33,2196,2,5,1
云拿月,92217,《离离》,完结,255623,2021-11-16 22:35:13,22789,15,1,1
随侯珠,69036,《心*******甘》,完结,259009,2019-05-24 10:05:07,57152,22,1,0
李庸和,2840,《长颈玻璃》,完结,61770,2022-03-12 10:17:35,3,16,1,0
Yana洛川,10390,《小皇子重生后和蛮族首领私奔了》,连载,142487,2021-12-09 23:57:19,1306,13,17,0
三水小草,32842,《当剧情降临》,连载,66027,2022-03-12 22:05:12,15559,37,21,1
乖乖月下樱,53,《二（接上文）》,连载,8593,2009-10-20 13:55:33,0,1,2,0
叶西西,112,《我坟头草三尺高[重生]》,连载,60477,2019-07-30 19:25:17,24,2,9,0
妄鸦,103715,《打游戏好爽》,连载,13707,2022-03-09 07:48:25,21204,17,8,0
戏子祭酒,47737,《边退婚边恋爱》,连载,265484,2022-03-13 12:00:00,4991,5,6,0
水珠,377,《倾我一生一世恋》,连载,137993,2013-08-02 01:21:04,0,12,2,0
我是苏素,5049,《原*******呀》,完结,11454,2015-03-09 13:31:06,0,14,3,0
蓬莱客,109329,《长宁将军》,连载,539212,2022-03-09 21:18:57,31317,16,2,0
时镜,87673,《物色》,连载,336862,2022-03-12 22:13:39,123932,31,4,0
凉拌毒萝丝,1743,《[斗罗+剑三]我成了猪脚他妈》,连载,485772,2022-01-19 02:58:20,0,0,3,0
三棵槐树,457,《人渣反派自救系统之冰妹视角》,完结,209019,2019-12-03 13:36:19,0,2,0,0
醉沉凰,1012,《快穿之每天都在作死的路上狂奔》,连载,150712,2019-08-24 08:00:00,0,5,4,0
霜雪明,12001,《我出版发行了师尊情史》,连载,255913,2022-03-13 05:00:00,1722,21,8,1
蓝珑琼,12057,《给她讲的99个故事》,连载,706342,2022-03-12 12:15:15,1358,40,13,1
牧白,11909,《满级大佬误入无限游戏后》,连载,1524824,2022-03-13 00:11:56,6050,25,11,1
望三山,56665,《他们对我紧追不舍[快穿]》,完结,599874,2022-02-26 15:56:13,16971,5,4,0
顾三跃,9296,《武林一中》,完结,456221,2022-02-17 01:03:40,285,11,6,0
余姗姗,26590,《灯下黑》,连载,809507,2022-03-13 17:53:24,86178,34,7,0
吕天逸,243570,《大触》,完结,254808,2022-01-29 10:36:48,33067,79,18,0
夜航星光,404,《灯*******城》,连载,562910,2010-09-06 01:10:40,0,4,1,0
罗再说,29531,《天台见》,完结,311719,2022-01-21 21:00:00,0,11,1,0
褚游,2846,《[快穿]苏映秀成神路》,连载,689423,2022-03-11 11:16:35,0,5,8,2
Aaron,5782,《璀璨星路[娱乐圈]》,完结,1405060,2022-03-10 09:35:46,5,51,1,6
蝶儿蝶儿舞,301,《有*******）》,完结,314897,2013-10-10 00:37:57,0,3,2,0
格欧费茵如是说,1898,《[柯南]红黑夹缝生存指南》,连载,284000,2022-03-09 21:42:16,0,0,15,0
缘何故,137834,《御膳人家》,完结,599943,2020-02-02 18:59:54,13380,23,6,0
镜吉祥,17776,《与诡异结婚的我真的平平无奇？》,连载,46038,2022-03-13 09:00:01,17428,22,6,0
云霄YX,7065,《我，纣王他弟，拉着道祖搞事业》,完结,688139,2022-02-15 18:58:09,16701,8,7,0
磨磨,18389,《她比奶茶甜》,连载,291093,2022-01-04 00:38:14,0,1,6,0
圆舞天涯,8258,《我在西幻被逼成神》,连载,135792,2022-01-31 01:22:47,890,17,12,5
淡蓝色的雨,53,《金弦-舞动的旋律》,连载,199483,2014-01-11 00:16:02,0,1,2,0
紫微流年,20093,《蔷薇之名》,完结,336294,2019-08-17 00:13:45,0,9,0,0
玖月晞,117783,《再见李桥》,完结,72880,2021-11-15 20:00:00,288,22,3,0
柯宝眷,241,《七零年代：极品家人超爱我》,连载,7122,2021-02-26 10:06:01,108,9,9,0
墨西柯,100498,《怎么还不哄我[娱乐圈]》,连载,20649,2022-03-13 18:18:18,56892,21,7,0
晏灼,149,《落架的凤凰不如鸡[种田]》,完结,160160,2021-08-31 21:30:42,68,6,1,0
七世有幸,49732,《呵呵》,完结,249517,2021-03-15 13:18:46,0,31,2,0
年加,48,《皇上，午妃是个妖！》,连载,50816,2013-02-19 23:13:58,0,4,3,1
月出长安,207,《心痒》,连载,130684,2022-03-12 20:30:00,140,4,8,0
陈十年,3475,《与娇娇》,连载,248963,2022-03-12 23:07:22,532,44,16,0
凝陇,61728,《谁动了我的听诊器》,完结,383170,2022-03-07 14:59:36,124234,8,9,0
暮沉霜,19643,《修真界禁止物种歧视》,完结,862617,2021-09-09 10:46:06,9855,24,9,1
丞謙,8346,《5T5他又误我》,连载,753344,2022-03-12 16:15:15,877,23,12,1
不言归,15333,《反派被迫深有苦衷[快穿]》,连载,802767,2022-03-12 09:57:45,613,13,4,0
沙茶茶酱,6426,《[HP]今天你魔法觉醒了吗》,连载,284843,2022-03-12 01:51:21,599,19,26,2
风息悠然,770,《夫君几时称帝[综]》,连载,468061,2020-11-20 16:25:05,105,7,4,1
飞樱,3549,《诸神的谎言[综英美]》,连载,1389642,2022-03-13 02:18:37,17,28,9,1
鱼七彩,19694,《随便养的鱼当皇帝了》,完结,273175,2022-03-04 10:17:52,6298,48,5,0
未西归,12288,《表演科今天也想与侦探同归于尽》,连载,1516719,2022-03-13 20:53:09,1866,1,6,0
一只西飞雁,18200,《盛夏绵绵冰》,完结,115608,2022-03-02 07:00:00,0,8,0,1
洛拾意,24556,《你杀青了》,完结,503517,2022-02-14 16:59:34,9784,10,10,1
睡芒,98033,《演技派》,完结,516081,2022-03-04 00:26:09,40702,20,5,0
清枫语,19972,《只是对你认了真》,连载,369482,2022-03-12 15:19:10,23882,21,4,0
流星猪,3590,《（*******y》,连载,41743,2020-05-30 02:33:25,20,17,4,0
连城雪,7522,《我爱你》,完结,521410,2019-03-29 19:44:46,432,58,4,0
常叁思,23309,《失家者》,完结,307966,2019-11-19 18:00:00,2287,9,1,0
孤君,9770,《情终》,完结,386289,2020-11-04 21:37:02,0,3,0,0
绘花猫,1059,《公主薄情》,连载,39529,2022-03-13 12:00:00,1221,61,10,2
春暖香凝,1080,《穿成反派的恶毒姐姐后》,连载,106128,2022-01-27 13:24:59,28,20,8,2
姜之鱼,110107,《诡镜[无限]》,连载,445207,2022-02-09 23:09:11,77772,36,8,0
退戈,155868,《第一战场分析师！》,完结,621167,2022-03-05 13:49:01,39483,27,5,1
叶子田粥,4611,《[综]东京恋爱养成攻略》,连载,479065,2022-02-15 19:33:56,2,1,13,0
苍君,2781,《[柯南/快新]大众情人》,完结,12295,2022-01-04 21:30:10,70,60,4,0
七年玉,13656,《大宋皇太子日常》,连载,215298,2022-03-13 06:00:00,74,61,11,0
午后半夏,12683,《[综影视]寒江雪4》,连载,898228,2022-03-06 14:10:52,2116,15,4,1
草菇老抽,7928,《只想溺爱你》,连载,316614,2022-03-13 00:18:35,876,48,14,0
月清怿,639,《我被赤色子弹射中了心》,连载,400692,2022-03-12 22:20:31,0,13,6,1
曲奇碎可可,18521,《恋与克苏鲁》,连载,852080,2022-02-09 19:00:17,1610,33,18,0
夜夕岚,39263,《英灵变身系统3》,连载,355283,2022-03-13 22:20:20,71,18,9,0
老肝妈,31901,《为皇》,连载,67389,2022-03-13 19:19:19,37,6,9,0
喝口雪碧,5971,《亲密关系恐惧症》,连载,18074,2022-03-13 22:15:10,3671,4,6,0
顾青词,9861,《路边的徒弟不要捡》,完结,225238,2022-01-24 16:37:50,222,26,3,1
木瓜黄,463211,《危险人格》,完结,563166,2022-03-01 15:10:44,25571,9,7,0
多梨,40556,《一日三餐》,连载,180118,2022-03-13 00:27:02,57258,31,13,0
八条看雪,2121,《解甲》,连载,832199,2022-01-05 09:40:58,0,0,1,0
虫电宝,391,《原来我就是对家的白月光[重生]》,完结,338646,2020-07-18 00:00:00,2147,10,8,0
春溪笛晓,85732,《戏明》,连载,137217,2022-03-13 12:32:55,37366,55,11,2
王琅之,362,《信息素真香定律》,连载,33901,2022-03-13 00:16:06,30,9,5,0
楚执,6506,《被装O的少女攻标记后》,连载,97798,2022-03-13 18:00:05,907,10,13,0
刘狗花,32526,《替身受他演技超群》,完结,265745,2022-01-29 21:00:00,7379,10,4,1
毛厚,4793,《匠心》,完结,283037,2020-05-17 17:30:16,150,4,2,0
暗夜女巫,82,《爱*******流》,连载,47310,2009-03-16 14:38:02,0,8,3,1
笑佳人,140700,《重生之贵妇》,连载,403276,2022-03-13 18:08:38,105278,46,4,0
沫问,6666,《我靠黑魔法搞基建[综童话]》,连载,221770,2022-03-13 17:27:22,765,24,8,0
西淅,31842,《我粉的透明都爆成了流量》,完结,263528,2021-12-09 13:19:55,63973,16,6,0
冰糖松鼠,7909,《夺嫡不如当神医[清穿]》,连载,866941,2022-03-09 23:59:37,0,6,2,0
右眼天堂,1225,《[张云雷+微沙海]过了坎就是坑》,连载,1330871,2021-03-26 22:06:21,9,14,7,0
蜀七,29587,《位面超市》,连载,330896,2022-03-13 21:49:44,19453,20,6,0
十七夜之妖,1029,《圆（网王+通灵）》,完结,296004,2011-03-27 20:31:11,0,13,1,2
林知落,86936,《突然和总监结婚了》,完结,246783,2022-03-08 17:26:09,21915,18,9,0
北倾,148051,《星辉落进风沙里》,完结,401595,2020-09-03 11:51:32,22611,22,3,0
颜凉雨,195155,《鬼服兵团》,完结,1180189,2022-03-08 10:42:57,67821,31,1,0
溪山债,2428,《她的名字叫玛丽方》,连载,411185,2019-07-02 17:08:07,68,1,3,0
楠淮之,554,《退休大佬穿进无限流后》,完结,379632,2022-02-25 21:19:44,111,8,5,0
泡面宅,644,《可以用亲亲赊账吗》,完结,187405,2022-02-20 14:39:20,35,8,2,0
逐汐,108,《盈月舞清风（清宫）》,完结,640334,2009-02-05 22:17:16,0,3,0,2
一头咸鱼,180,《失忆后我和宿敌有崽了》,连载,282506,2022-03-05 23:38:45,284,5,10,0
柳风荷,1154,《综漫/文野/咒回等推文2》,连载,72682,2022-03-09 12:00:00,32,9,7,0
启蛰,1180,《斗罗之异火成神》,完结,553449,2019-01-29 18:24:17,23,7,2,0
初夏有雨,1158,《江*******我》,连载,300712,2022-03-12 23:00:00,172,8,10,9
草色浅浅,400,《重生之一世如莲》,完结,233600,2021-01-22 18:01:20,6,7,5,0
想吃炸鸡喝可乐,3675,《弹幕都说我是剧本组》,连载,242265,2022-03-12 22:55:30,4393,4,8,0
白灵子,4950,《攻略诅咒之王后我死遁了》,完结,582048,2022-03-10 19:28:18,379,6,16,0
微风几许,73349,《恶龙的低语》,连载,117588,2022-03-13 18:39:42,7791,17,5,0
龙柒,192497,《先赚个一百亿》,连载,13626,2022-03-13 16:20:44,49814,35,2,0
夏陌迟,206,《你可别是个傻子吧［穿越］》,完结,80355,2019-12-02 13:35:55,16,9,4,0
星野樱,4911,《大内傲娇学生会》,完结,522941,2019-06-15 18:52:40,38,15,3,1
黍宁,48150,《从团厌到团宠》,连载,104803,2022-01-24 23:00:00,4151,18,17,0
匹萨娘子,18649,《亡国后我嫁给了泥腿子》,完结,1084861,2022-02-24 18:27:25,590,14,4,6
陌言川,71781,《我这样喜欢你》,连载,228625,2022-03-01 22:15:20,146455,15,8,0
笑璃音,1122,《科学？伪科学？》,完结,380467,2011-09-01 14:52:56,0,15,0,0
冷月秋蝉,89,《重生网王之遭遇手冢国光》,完结,218341,2018-03-23 09:54:23,4,8,3,1
Ventisca,24451,《从创建密教开始》,连载,1088015,2022-03-10 00:41:33,1916,12,7,0
大团团,10029,《召唤玩家来三国》,连载,492391,2022-02-27 23:52:36,1132,9,5,2
不才如仆,32886,《反派女配你支棱起来！[快穿]》,连载,255094,2022-02-10 22:59:42,8514,24,7,0
六盲星,117576,《如果月亮不抱你》,完结,267310,2022-02-28 22:29:34,18557,19,2,0
洗衣粉,19360,《一见圣僧误终身》,连载,159576,2022-03-13 13:58:47,443,7,13,0
明开夜合,71180,《玫瑰白塔》,完结,246154,2021-12-29 15:37:07,45222,25,5,0
醉饮长歌,77066,《我演不下去了》,完结,356061,2022-03-09 12:03:09,7446,43,14,2
